2025-05-24 14:50,21.1,52,478
2025-05-24 15:00,24.7,61,475
2025-05-24 15:10,22.0,50,402
2025-05-24 15:20,23.9,56,400
2025-05-24 15:30,23.7,60,589
2025-05-24 15:40,21.1,50,459
2025-05-24 15:50,22.5,53,488
2025-05-24 16:00,21.6,50,404
2025-05-24 16:10,20.4,62,440
2025-05-24 16:20,21.2,65,529
2025-05-24 16:30,21.1,64,420
2025-05-24 16:40,22.3,53,458
2025-05-24 16:50,20.2,58,585
2025-05-24 17:00,23.1,50,434
2025-05-24 17:10,21.2,51,533
2025-05-24 17:20,24.6,65,449
2025-05-24 17:30,24.7,59,584
2025-05-24 17:40,20.4,57,468
2025-05-24 17:50,22.4,53,503
2025-05-24 18:00,23.9,60,494
2025-05-24 18:10,23.9,58,477
2025-05-24 18:20,24.3,57,511
2025-05-24 18:30,21.1,56,442
2025-05-24 18:40,24.0,64,462
2025-05-24 18:50,21.0,63,489
2025-05-24 19:00,22.4,60,464
2025-05-24 19:10,23.0,59,455
2025-05-24 19:20,24.6,50,505
2025-05-24 19:30,20.1,53,571
2025-05-24 19:40,23.6,51,469
2025-05-24 19:50,21.1,52,559
2025-05-24 20:00,22.5,61,416
2025-05-24 20:10,23.4,52,562
2025-05-24 20:20,24.0,63,408
2025-05-24 20:30,24.2,63,525
2025-05-24 20:40,24.0,55,423
2025-05-24 20:50,20.3,65,415
2025-05-24 21:00,22.2,56,576
2025-05-24 21:10,22.5,51,463
2025-05-24 21:20,23.0,51,458
2025-05-24 21:30,22.7,54,456
2025-05-24 21:40,22.1,51,548
2025-05-24 21:50,23.5,58,497
2025-05-24 22:00,24.2,53,449
2025-05-24 22:10,21.0,51,586
2025-05-24 22:20,22.5,58,522
2025-05-24 22:30,21.8,63,574
2025-05-24 22:40,21.9,56,425
2025-05-24 22:50,24.3,61,527
2025-05-24 23:00,22.6,61,566
2025-05-24 23:10,24.6,54,413
2025-05-24 23:20,21.0,56,527
2025-05-24 23:30,22.0,63,570
2025-05-24 23:40,24.2,52,553
2025-05-24 23:50,20.2,64,501
2025-05-25 00:00,23.1,55,537
2025-05-25 00:10,20.2,64,499
2025-05-25 00:20,20.4,53,516
2025-05-25 00:30,23.9,59,463
